open_time,close_time,strat,dir,entry,exit,lots,pnl,commission,swap,market_state_on_open,liquidity_score_on_open,slippage,exec_ms,was_limit
2026.02.12 14:28:14,2026.02.12 14:34:12,EMA,-1,5063.01000,5064.99000,0.01,-1.98,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.12 14:41:34,2026.02.12 14:42:12,EMA,-1,5062.58000,5060.61000,0.01,1.97,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.13 11:03:28,2026.02.13 11:11:05,EMA,-1,4978.40000,4980.41000,0.01,-2.01,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.13 11:14:26,2026.02.13 11:15:02,EMA,1,4979.04000,4977.08000,0.01,-1.96,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.13 11:16:00,2026.02.13 11:16:35,EMA,-1,4978.67000,4980.60000,0.01,-1.93,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.13 11:22:52,2026.02.13 11:23:29,EMA,1,4979.24000,4977.18000,0.01,-2.06,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.13 11:44:00,2026.02.13 11:45:39,EMA,1,4970.55000,4974.46000,0.01,3.91,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.13 11:56:13,2026.02.13 11:57:25,EMA,-1,4971.15000,4973.12000,0.01,-1.97,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.13 11:58:39,2026.02.13 11:59:35,EMA,1,4971.81000,4969.89000,0.01,-1.92,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.13 12:04:39,2026.02.13 12:05:19,EMA,-1,4971.39000,4973.33000,0.01,-1.94,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.13 12:06:55,2026.02.13 12:07:15,EMA,1,4971.98000,4969.98000,0.01,-2.00,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.13 12:25:28,2026.02.13 12:27:19,EMA,-1,4973.35000,4975.35000,0.01,-2.00,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.13 12:26:00,2026.02.13 12:27:39,EMA,1,4974.55000,4978.32000,0.01,3.77,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.13 14:21:39,2026.02.13 14:28:40,EMA,-1,4971.59000,4968.00000,0.01,3.59,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.13 14:31:29,2026.02.13 14:34:19,EMA,-1,4965.87000,4967.99000,0.01,-2.12,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.16 11:16:00,2026.02.16 11:16:35,EMA,1,5013.33000,5015.25000,0.01,1.92,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.16 11:43:17,2026.02.16 11:44:27,EMA,1,5013.03000,5011.15000,0.01,-1.88,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.16 11:59:36,2026.02.16 12:02:17,EMA,1,5013.38000,5015.24000,0.01,1.86,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.16 12:03:51,2026.02.16 12:05:13,EMA,1,5014.43000,5012.43000,0.01,-2.00,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.16 12:26:00,2026.02.16 12:29:17,EMA,1,5009.72000,5007.65000,0.01,-2.07,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.16 12:29:00,2026.02.16 12:29:33,EMA,-1,5008.27000,5006.10000,0.01,2.17,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.16 12:36:00,2026.02.16 12:36:32,EMA,1,5009.79000,5007.70000,0.01,-2.09,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.16 12:37:00,2026.02.16 12:41:46,EMA,-1,5005.75000,5005.68000,0.01,0.07,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.16 12:55:31,2026.02.16 13:00:36,EMA,1,5007.13000,5005.14000,0.01,-1.99,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.16 15:00:14,2026.02.16 15:08:12,EMA,-1,5003.49000,5001.18000,0.01,2.31,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.17 11:00:29,2026.02.17 11:01:03,EMA,-1,4922.03000,4924.04000,0.01,-2.01,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.17 11:09:00,2026.02.17 11:10:35,EMA,-1,4923.19000,4925.30000,0.01,-2.11,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.17 11:08:37,2026.02.17 11:10:35,EMA,1,4922.53000,4925.24000,0.01,2.71,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.17 11:36:26,2026.02.17 11:36:40,EMA,1,4923.29000,4921.31000,0.01,-1.98,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.17 11:42:04,2026.02.17 11:43:39,EMA,-1,4921.33000,4918.60000,0.01,2.73,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.17 12:31:56,2026.02.17 12:34:03,EMA,1,4922.19000,4925.51000,0.01,3.32,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.17 14:02:40,2026.02.17 14:05:20,EMA,1,4928.48000,4931.64000,0.01,3.16,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.17 14:36:20,2026.02.17 14:36:38,EMA,1,4941.33000,4939.41000,0.01,-1.92,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.18 11:14:00,2026.02.18 11:18:27,EMA,-1,4916.67000,4914.15000,0.01,2.52,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.18 11:35:30,2026.02.18 11:42:30,EMA,-1,4917.87000,4919.85000,0.01,-1.98,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.18 11:52:19,2026.02.18 11:54:24,EMA,-1,4918.40000,4920.39000,0.01,-1.99,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.18 12:00:28,2026.02.18 12:04:31,EMA,-1,4918.57000,4920.59000,0.01,-2.02,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.18 12:15:00,2026.02.18 12:18:59,EMA,-1,4920.26000,4918.25000,0.01,2.01,-0.03,0.00,0,0.00,0.00000,0,0
